POSTCODE,TOWNNAME,SUBURBNAME,STREETNAME,HOUSENUMBER,CUSTOM1,SORTINFO
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,5/7, ROAD,20204185
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,4/7, ROAD,20204186
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,1/7, ROAD,20204187
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,2/7, ROAD,20204188
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,2/5, ROAD,20204189
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,5, ROAD,20204190
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,1/5, ROAD,20204191
1060,AUCKLAND,MOUNT WELLINGTON,ARANUI,5C, ROAD,20204192
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,301, HIGHWAY,20204193
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,299, HIGHWAY,20204194
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,297, HIGHWAY,20204195
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,2/295, HIGHWAY,20204196
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,3/295, HIGHWAY,20204197
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,4/295, HIGHWAY,20204198
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,5/295, HIGHWAY,20204199
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,1/295, HIGHWAY,20204200
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,2/293, HIGHWAY,20204201
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,3/293, HIGHWAY,20204202
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,4/293, HIGHWAY,20204203
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,1/293, HIGHWAY,20204204
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,1/291, HIGHWAY,20204205
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,4/291, HIGHWAY,20204206
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,5/291, HIGHWAY,20204207
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,6/291, HIGHWAY,20204208
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,3/291, HIGHWAY,20204209
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,2/291, HIGHWAY,20204210
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,2/289, HIGHWAY,20204211
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,4/289, HIGHWAY,20204212
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,1/289, HIGHWAY,20204213
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT WELLINGTON,3/289, HIGHWAY,20204214
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2A, STREET,20204215
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2C, STREET,20204216
1060,AUCKLAND,MOUNT WELLINGTON,LONGFORD,2D, STREET,20204217
